Commodity,2012 Import,2013 Import,2014 Import,2015 Import,2016 Import,2017 Import,2018 Import,2019 Import,2020 Import,2012 Export,2013 Export,2014 Export,2015 Export,2016 Export,2017 Export,2018 Export,2019 Export,2020 Export
Fats & Oil,11331.21,9441.75,10670.01,10530.35,10946.32,11700.44,9994.44,9867.14,11299.79,958.79,857.33,973.29,877.27,892.62,1263.88,1097.57,1165.69,1631.81
Aquatics,67.41,44.62,61.69,67.18,58.85,90.54,106.28,129.3,147.15,361.98,408.96,377.84,320.51,311.96,346.55,325.84,254.77,354.55
Beverages,325.02,428.12,541.59,559.58,673.27,721.66,786.85,795.85,651.83,9655.41,10562.89,9550.98,6272.02,6012.95,8151.56,8160.17,6672.38,10064.03
Cereals,22.03,22.09,22.17,188.59,1343.25,434.09,73.43,182.52,47.79,54.03,93.96,138.87,193.31,162.18,177.47,192.69,180.1,149.77
Cocoa,192.8,176.89,253.58,212.96,229.67,228.51,263.15,259.03,273.02,2742.92,2746.62,2871.86,2954.87,3185.2,3310.34,3199.62,3299.27,3901.56
Coffee & Tea,541.23,528.27,729.43,771.95,757.84,850.08,720.67,779.72,796.87,410.01,705.07,379.03,328.48,292.93,366.6,538.65,353.63,77.84
Dairy Products,33.57,37.36,50.05,51.82,36.38,47,32.83,37.5,33.42,1412.37,1623.29,1610.71,1584.68,1731.21,1857.05,1617.42,1490.75,1350.45
Fruits & Nut,2152.93,2062.97,2672.08,3051.09,3041.58,3400.81,3627.69,3300.33,3158.91,1037.38,1356.07,1180.8,1261.4,1294.72,1305.55,1301.72,1095.62,1302.6
Plant Edibles,2461.69,2141.58,2834.42,4022.31,4287.36,2968.8,1189.06,1576.21,1683.79,3322.71,4823.02,5249.51,4486.28,5501.05,6850.91,6256.88,6159.23,5235.4
Gums & Resins,161.76,164.78,182.81,203.37,218.65,246.24,254.34,276.83,255.26,4321.32,2414.86,1947.54,868.99,844.41,1019,1056.91,822.93,727.33
Meat,2,1.96,3.22,1.95,3.13,4.65,4.55,5.49,1.78,3286.87,4475.53,4929.27,4209.98,4037.61,4174.64,3722.51,3300.69,3223.27
Oilseeds,249.6,359.86,322,328.72,380.94,356.88,573.37,768.36,747.66,1728.06,1709.41,2213.94,1673.53,1809.02,1647.14,1640.47,1773.09,1822.63
Sugar & Confectionaries,642.57,474.66,686.48,692.56,1103.61,1050.31,543.91,454.13,750.75,1750.11,1354.89,1075.16,1763.61,1508.52,1018.73,1629.21,2192.14,3142.29
