Crop,Commodity,2013,2014,2015,2016,2017,2018,2019
Beans,Beans,1370,2204,2334,2012,2277,2356,2080
Bittergourd,Bittergourd,807,770,1046,1030,1137,1205,1214
Bottlegourd,Bottlegourd,1819,1826,2458,2529,2683,3011,2977
Brinjal,Brinjal,13558,12589,12515,12510,12801,12680,12777
Cabbage,Cabbage,9039,8585,8806,8807,9037,9127,9207
Capsicum,Capsicum,167,183,288,306,326,497,514
Carrot,Carrot,1074,968,1338,1350,1648,1893,1838
Cauliflower,Cauliflower,8573,7926,8090,8557,8668,9083,8840
Cucumber,Cucumber,678,678,1202,1142,1260,1588,1603
Green Chillies,Green Chillies,1687,1998,2955,3634,3592,3783,3851
Elephant Foot Yam,Elephant Foot Yam,222,678,733,748,774,817,808
Mushroom,Mushroom,17,51,436,441,487,182,201
Okra,Okra,6346,5709,5849,6003,6095,6176,6371
Onion,Onion,19402,18927,20931,22427,23262,22819,26738
Pointed gourd,Pointed gourd,169,347,264,268,310,757,760
Peas,Peas,3869,4652,4811,5345,5422,5562,5703
Potato,Potato,41555,48009,43417,48605,51310,50190,51300
Radish,Radish,2485,2307,2844,2898,3061,3143,3107
Pumpkin,Pumpkin,416,1122,1509,1664,1714,2043,2117
Sweet Potato,Sweet Potato,1088,1228,1454,1460,1500,1156,1186
Tapioca,Tapioca,8139,4373,4344,4171,4950,4976,5043
Tomato,Tomato,18736,16385,18732,20708,19759,19007,20573
Others,Others,19108,25053,22707,21557,22320,21118,22962
